Summary statistic,$\beta$,$\gamma$,$\rho$
mean:auc_infected_fraction,0.000455,0.775687,0.000707
sd:auc_infected_fraction,0.000114,0.109743,0.000241
mean:peak_infected_fraction,9.2e-05,0.030034,8.4e-05
sd:peak_infected_fraction,3.1e-05,0.003553,0.000106
mean:time_to_peak_infected_fraction,0.000546,8.6e-05,0.029234
sd:time_to_peak_infected_fraction,6.8e-05,0.000508,0.000248
mean:initial_growth_ratio,0.995097,0.000809,0.019094
sd:initial_growth_ratio,0.000572,0.006942,1.2e-05
mean:peak_rewire_count,8.8e-05,1.5e-05,0.141617
sd:peak_rewire_count,0.000201,0.000104,0.105701
mean:time_to_peak_rewire_count,4.6e-05,0.044616,0.026203
sd:time_to_peak_rewire_count,7e-06,0.000456,0.000214
mean:total_rewire_count,2.3e-05,0.004307,0.001247
sd:total_rewire_count,4.2e-05,0.004319,0.000932
mean:mean_degree,0.000171,1.5e-05,7e-05
sd:mean_degree,9e-06,3.1e-05,2e-06
mean:sd_degree,1.3e-05,0.000114,0.648945
sd:sd_degree,1e-05,0.003353,0.000144
mean:rewire_to_infection_ratio,4.2e-05,0.012749,0.010396
sd:rewire_to_infection_ratio,2.4e-05,0.000279,7.4e-05
mean:lag_peak,0.002066,0.002132,0.014671
sd:lag_peak,0.000283,0.000147,5.7e-05
