method,epsilon,parameter,rarmise,rae_mean,rae_mode,rae_median,ks,cov_pval
all,0.1,beta,0.0625 (0.0390),0.0356 (0.0359),0.0335 (0.0296),0.0349 (0.0348),0.1372,0.0419
all,0.1,gamma,0.1246 (0.1172),0.0488 (0.0558),0.0428 (0.0544),0.0447 (0.0536),0.2032,0.0004
all,0.1,rho,0.1561 (0.9670),0.0767 (0.4609),0.0776 (0.4677),0.0775 (0.4707),0.1088,0.1743
all,0.01,beta,0.0460 (0.0260),0.0277 (0.0260),0.0277 (0.0260),0.0266 (0.0252),0.2625,0.0000
all,0.01,gamma,0.0739 (0.0742),0.0354 (0.0346),0.0354 (0.0346),0.0333 (0.0330),0.2093,0.0003
all,0.01,rho,0.0315 (0.0396),0.0148 (0.0185),0.0148 (0.0185),0.0148 (0.0184),0.1677,0.0063
all,0.001,beta,0.0387 (0.0257),0.0251 (0.0247),0.0251 (0.0247),0.0247 (0.0245),0.2327,0.0000
all,0.001,gamma,0.0598 (0.0609),0.0365 (0.0478),0.0365 (0.0478),0.0359 (0.0485),0.2335,0.0000
all,0.001,rho,0.0191 (0.0144),0.0115 (0.0103),0.0115 (0.0103),0.0114 (0.0098),0.1750,0.0038
pls,0.1,beta,0.1107 (0.0695),0.0646 (0.0590),0.0559 (0.0487),0.0611 (0.0557),0.1893,0.0013
pls,0.1,gamma,0.1506 (0.1275),0.0710 (0.0669),0.0676 (0.0698),0.0677 (0.0652),0.2069,0.0003
pls,0.1,rho,1.0187 (8.4113),0.8048 (7.3992),1.0956 (9.9995),0.9388 (8.6335),0.0763,0.5792
pls,0.01,beta,0.0830 (0.0450),0.0521 (0.0452),0.0521 (0.0452),0.0515 (0.0450),0.1465,0.0246
pls,0.01,gamma,0.0985 (0.0827),0.0582 (0.0649),0.0582 (0.0649),0.0567 (0.0595),0.1845,0.0019
pls,0.01,rho,0.0928 (0.1248),0.0506 (0.0640),0.0506 (0.0640),0.0450 (0.0526),0.0935,0.3255
pls,0.001,beta,0.0785 (0.0472),0.0469 (0.0477),0.0469 (0.0477),0.0470 (0.0466),0.0746,0.6078
pls,0.001,gamma,0.0971 (0.0937),0.0639 (0.0829),0.0639 (0.0829),0.0645 (0.0825),0.0817,0.4916
pls,0.001,rho,0.0619 (0.0457),0.0371 (0.0428),0.0371 (0.0428),0.0375 (0.0436),0.0547,0.9102
rf,0.1,beta,0.0677 (0.0401),0.0438 (0.0397),0.0447 (0.0413),0.0437 (0.0393),0.1020,0.2326
rf,0.1,gamma,0.0495 (0.0742),0.0291 (0.0705),0.0293 (0.0716),0.0290 (0.0709),0.0835,0.4632
rf,0.1,rho,0.1580 (1.1191),0.0493 (0.2913),0.0470 (0.2530),0.0410 (0.2069),0.1086,0.1753
rf,0.01,beta,0.0594 (0.0259),0.0340 (0.0288),0.0344 (0.0290),0.0343 (0.0286),0.0655,0.7596
rf,0.01,gamma,0.0347 (0.0449),0.0192 (0.0322),0.0185 (0.0307),0.0188 (0.0316),0.0666,0.7412
rf,0.01,rho,0.0341 (0.0300),0.0191 (0.0186),0.0190 (0.0183),0.0192 (0.0185),0.0832,0.4688
rf,0.001,beta,0.0585 (0.0283),0.0328 (0.0310),0.0328 (0.0310),0.0327 (0.0311),0.0764,0.5764
rf,0.001,gamma,0.0367 (0.0605),0.0225 (0.0507),0.0225 (0.0507),0.0229 (0.0545),0.0738,0.6212
rf,0.001,rho,0.0268 (0.0201),0.0163 (0.0184),0.0163 (0.0184),0.0165 (0.0179),0.0640,0.7837
gb,0.1,beta,0.0702 (0.0410),0.0423 (0.0397),0.0465 (0.0386),0.0423 (0.0394),0.0639,0.7842
gb,0.1,gamma,0.0754 (0.1153),0.0461 (0.1094),0.0462 (0.1075),0.0460 (0.1083),0.0584,0.8642
gb,0.1,rho,0.5013 (4.1379),0.4313 (3.8470),0.4263 (3.8114),0.4239 (3.7726),0.0782,0.5465
gb,0.01,beta,0.0631 (0.0291),0.0360 (0.0308),0.0360 (0.0308),0.0361 (0.0310),0.0678,0.7219
gb,0.01,gamma,0.0557 (0.0567),0.0274 (0.0332),0.0274 (0.0332),0.0277 (0.0337),0.0549,0.9071
gb,0.01,rho,0.0617 (0.0645),0.0319 (0.0350),0.0319 (0.0350),0.0312 (0.0333),0.0607,0.8323
gb,0.001,beta,0.0624 (0.0305),0.0356 (0.0330),0.0356 (0.0330),0.0359 (0.0329),0.0865,0.4187
gb,0.001,gamma,0.0588 (0.0746),0.0342 (0.0560),0.0342 (0.0560),0.0330 (0.0512),0.0973,0.2812
gb,0.001,rho,0.0458 (0.0252),0.0249 (0.0214),0.0249 (0.0214),0.0256 (0.0215),0.1055,0.2005
