mean:auc_infected_fraction,sd:auc_infected_fraction,mean:peak_infected_fraction,sd:peak_infected_fraction,mean:initial_growth_ratio,sd:initial_growth_ratio,mean:total_rewire_count,sd:total_rewire_count,mean:sd_degree,sd:sd_degree,beta,gamma,rho
10.3633,0.692699,0.717125,0.0407567,2.425,0.555315,454.925,34.419,3.097,0.15554,0.152308,0.0962474,0.230344
9.34137,0.678822,0.68075,0.0391559,2.385,0.564602,666.875,35.5859,3.19195,0.203914,0.160731,0.105805,0.315492
7.54587,0.526195,0.591625,0.0403947,2.25,0.64304,563.4,37.2517,3.13298,0.167847,0.135363,0.131411,0.2588
10.2051,0.639371,0.67925,0.0338665,2.11,0.491833,608.7,43.6464,3.18104,0.152294,0.131783,0.0983914,0.265679
10.3005,0.597503,0.663625,0.0395441,2.34,0.558928,751.05,45.5653,3.31864,0.2002,0.132603,0.0964359,0.313565
11.1256,0.785327,0.65725,0.0430254,1.89,0.542125,570.35,37.8593,3.14725,0.161662,0.112883,0.0902307,0.227309
9.12,0.697633,0.6245,0.038775,2.11,0.584722,708.625,43.3461,3.23193,0.184591,0.130518,0.10867,0.293666
13.4435,0.757824,0.743625,0.0275451,2.365,0.499775,479.825,32.183,3.04546,0.153001,0.140165,0.0753957,0.228646
9.62163,0.660011,0.63825,0.038771,1.9,0.525357,473.475,36.5411,3.05091,0.181598,0.115052,0.10351,0.197196
13.1307,0.912336,0.71525,0.0331653,2.16,0.527636,657.8,43.7117,3.22896,0.190668,0.121538,0.0757002,0.264284
8.87975,0.674312,0.610875,0.0463531,2.1,0.469042,738.325,30.1143,3.29727,0.173298,0.12935,0.112932,0.30195
12.8971,0.864819,0.68925,0.0337741,1.93,0.401373,483.125,30.9137,3.06787,0.156893,0.110048,0.0784017,0.190023
9.48575,0.578422,0.70025,0.0430254,2.425,0.527613,459.2,31.6956,3.10704,0.118658,0.157696,0.105869,0.237071
13.0751,0.907986,0.722625,0.0309634,2.08,0.466476,514.6,35.1815,3.12538,0.1637,0.126419,0.0761097,0.221232
11.0324,0.721981,0.7585,0.0369154,2.48,0.40939,452.025,33.2915,3.04413,0.168112,0.177074,0.0900193,0.250711
11.8636,0.730029,0.720625,0.0484534,2.185,0.512616,562.025,38.9792,3.15481,0.13867,0.138971,0.0852598,0.255909
10.3323,0.574289,0.705625,0.0403142,2.42,0.620967,704.15,51.6418,3.26039,0.196404,0.16706,0.0955622,0.334554
8.65075,0.523301,0.63225,0.031602,2.13,0.577148,556.75,37.0721,3.08976,0.172608,0.12958,0.115939,0.246239
12.2246,0.802623,0.66925,0.0413907,1.9,0.376829,581.85,42.0604,3.17737,0.145334,0.106647,0.0827031,0.220959
8.87225,0.555718,0.678875,0.0432072,2.6,0.479583,613.3,40.7082,3.1272,0.11424,0.171786,0.115434,0.315089
11.8456,0.759825,0.662125,0.0382898,2.07,0.557763,607.8,39.0238,3.16602,0.233391,0.113587,0.0855021,0.241336
8.00387,0.515289,0.635125,0.0366996,2.27,0.5245,459.875,33.2304,3.11653,0.16581,0.141397,0.122278,0.22393
13.4664,1.06348,0.706125,0.0443352,2.02,0.48949,528.9,44.1326,3.13585,0.148679,0.11043,0.0744431,0.211104
11.4609,0.560158,0.735125,0.0281178,2.535,0.535514,515.925,34.1807,3.08688,0.150916,0.161057,0.0885231,0.260329
11.9406,0.887569,0.678375,0.0404875,2.1,0.521536,418.525,29.5415,3.03494,0.203676,0.110676,0.0824819,0.173585
9.86088,0.676738,0.698625,0.0340769,2.32,0.577581,661.7,48.7377,3.20111,0.181991,0.155371,0.102137,0.30793
7.99762,0.554511,0.629375,0.0377357,2.165,0.431016,431.1,29.8226,3.11478,0.169574,0.134383,0.123309,0.204464
8.19388,0.595002,0.602625,0.0429242,2.04,0.447661,526.65,39.1053,3.20099,0.16103,0.119579,0.123008,0.227049
13.7193,0.931076,0.73875,0.0374625,2.29,0.455961,556.025,41.1755,3.1531,0.169993,0.133924,0.0725764,0.246391
8.859,0.53693,0.655,0.0408809,2.075,0.442012,396.325,31.9143,3.04626,0.136058,0.134661,0.112242,0.19197
10.8752,0.700802,0.706875,0.0388859,2.355,0.571817,692.725,52.121,3.23199,0.183968,0.146879,0.0915163,0.313293
10.5514,0.656933,0.670875,0.0364158,2.245,0.45932,394.975,31.3037,3.01389,0.167146,0.122601,0.0945798,0.181804
11.6691,0.757876,0.713,0.0419047,2.265,0.59563,662.775,48.4915,3.19223,0.15692,0.138255,0.0875841,0.287634
13.3065,0.885096,0.75825,0.0288433,2.305,0.540347,503.275,35.519,3.10182,0.169025,0.154255,0.0739461,0.245925
9.42437,0.607638,0.665,0.0447074,2.15,0.550908,381.1,32.4583,3.06699,0.15841,0.128265,0.107322,0.17754
10.3939,0.759846,0.638625,0.0440594,2.23,0.605888,588.975,38.8082,3.17439,0.151232,0.120638,0.0961133,0.241075
8.27712,0.588623,0.65425,0.0439254,2.355,0.486801,585.5,32.5015,3.15832,0.190914,0.153906,0.11996,0.281474
12.5,0.806474,0.748375,0.0321789,2.325,0.513201,487.45,36.1393,3.10083,0.155317,0.145527,0.0778911,0.234858
8.50725,0.616917,0.648625,0.0464218,2.26,0.535164,541.225,37.848,3.08648,0.137879,0.144378,0.118008,0.255018
7.5775,0.541587,0.6345,0.0433272,2.38,0.689638,622.85,47.212,3.19496,0.170435,0.160907,0.131616,0.308417
9.16587,0.689308,0.692375,0.0384218,2.45,0.519134,473.5,33.3414,3.00266,0.171542,0.158533,0.105206,0.246809
9.11425,0.661834,0.648125,0.0382375,2.245,0.476419,414.55,26.6392,3.04606,0.160263,0.130161,0.109077,0.193383
10.1921,0.631619,0.704625,0.0300289,2.5,0.442719,553.225,30.9657,3.14056,0.171641,0.161022,0.0985825,0.275094
8.9025,0.557986,0.67875,0.0415294,2.35,0.472758,474.45,31.6757,3.07039,0.151037,0.152654,0.111837,0.244976
13.7059,0.901472,0.767,0.0245153,2.315,0.414457,520.925,46.1992,3.16683,0.168594,0.146763,0.0714925,0.24681
11.9422,0.779181,0.67675,0.0435108,2.015,0.508699,721.775,43.6277,3.28671,0.17718,0.118381,0.0826224,0.278838
10.5988,0.486497,0.68375,0.0400586,2.205,0.605785,697.475,44.5853,3.24259,0.172325,0.144875,0.0938247,0.310608
11.281,0.708963,0.649875,0.0381852,1.93,0.651997,546.875,37.6671,3.1678,0.197903,0.104466,0.0908375,0.20926
7.94738,0.531061,0.6435,0.0360763,2.365,0.627515,609.075,46.3133,3.17338,0.176126,0.156116,0.126844,0.291947
10.1805,0.561995,0.71925,0.031495,2.595,0.693524,496.8,34.6311,3.10282,0.143257,0.167504,0.0990198,0.26346
11.3503,0.726056,0.699125,0.0382408,2.17,0.557763,594.9,40.762,3.18572,0.147515,0.132429,0.0890173,0.25867
9.99075,0.590152,0.711625,0.0393762,2.515,0.503761,626.55,36.2243,3.16241,0.172771,0.166219,0.0987941,0.309605
10.7702,0.722253,0.6435,0.0345181,1.95,0.448888,616.95,44.4409,3.15631,0.145746,0.115715,0.0923039,0.24302
10.8545,0.683204,0.7385,0.0341541,2.515,0.584615,592.55,43.9061,3.20186,0.179549,0.174754,0.0921501,0.309103
12.562,0.892593,0.723625,0.0300206,2.04,0.48621,372.975,31.1605,3.05564,0.143097,0.131631,0.0805225,0.179194
7.8075,0.639398,0.613875,0.0488043,2.26,0.600333,569.975,39.7678,3.1381,0.159438,0.14183,0.125154,0.264597
11.4249,0.66743,0.705375,0.0416291,2.215,0.588876,511.5,37.029,3.06295,0.170472,0.138663,0.0879919,0.234652
11.2899,0.781662,0.726625,0.0297991,2.445,0.516696,469.25,32.2806,3.08192,0.186279,0.157818,0.0887976,0.238858
12.774,0.876748,0.679125,0.0324786,1.975,0.397964,669.95,51.657,3.21611,0.164763,0.10858,0.0777268,0.250827
7.68962,0.498383,0.593375,0.0423879,2.235,0.558368,603.775,38.9413,3.21963,0.156615,0.130882,0.126375,0.266578
7.91662,0.583246,0.591,0.0469068,2.08,0.477074,680.9,40.3403,3.22206,0.159713,0.128213,0.124787,0.280998
9.56713,0.555555,0.6815,0.0269768,2.295,0.609898,584.25,40.383,3.10139,0.192524,0.14279,0.104049,0.271026
10.9826,0.696584,0.698125,0.0328384,2.205,0.452742,575.925,41.0794,3.17458,0.134982,0.140033,0.0896716,0.256646
11.2097,0.820819,0.668125,0.0424218,1.985,0.436778,664.35,44.7999,3.26571,0.176326,0.121593,0.0891739,0.267356
8.913,0.559365,0.666,0.0366265,2.245,0.490892,410.825,38.2517,3.03231,0.168804,0.137893,0.112625,0.201081
8.237,0.654711,0.6005,0.0415301,1.945,0.462574,362.275,31.1601,2.97793,0.15441,0.112741,0.120047,0.159204
8.72125,0.574659,0.686125,0.0347219,2.365,0.599812,558.175,37.9538,3.12666,0.1693,0.178768,0.1151,0.294308
10.079,0.567263,0.652625,0.0353374,2.19,0.542125,538.125,37.1121,3.10724,0.179214,0.121174,0.100021,0.224281
12.4556,0.816679,0.68375,0.0408465,1.975,0.537006,520.125,36.5385,3.15912,0.192675,0.107959,0.080972,0.200838
10.422,0.873103,0.647625,0.0381934,2.02,0.421426,724.2,44.4782,3.28503,0.203568,0.119561,0.0970982,0.284358
8.34337,0.538039,0.621875,0.0410288,2.05,0.543599,474.9,38.0374,3.12624,0.178633,0.127615,0.121424,0.214087
9.64675,0.576237,0.659125,0.0298724,2.03,0.401373,438.2,34.1227,3.05748,0.148877,0.124093,0.102206,0.195224
7.3655,0.401161,0.6095,0.0371282,2.285,0.608091,519.275,34.985,3.08785,0.190345,0.146285,0.135533,0.255216
10.051,0.756128,0.641,0.0442182,1.98,0.448999,487.875,36.7989,3.0859,0.146623,0.114086,0.100566,0.200701
7.984,0.519572,0.6675,0.0388748,2.525,0.548976,524.15,46.4567,3.14705,0.168977,0.170483,0.123511,0.281492
9.755,0.684034,0.662,0.0398403,2.065,0.418061,378.3,31.1771,3.04238,0.143533,0.125136,0.102983,0.173526
9.60125,0.667838,0.693,0.0353695,2.45,0.550908,584.675,46.6794,3.19426,0.201365,0.160358,0.103598,0.28627
10.4091,0.703711,0.685125,0.0404117,2.35,0.61441,511.425,34.8804,3.12731,0.15789,0.132612,0.09573,0.232541
13.1574,0.890915,0.734,0.0344819,2.365,0.530825,543.575,39.4968,3.11609,0.188751,0.139446,0.0763582,0.245505
12.7298,0.774877,0.701,0.0374366,2.165,0.503761,732.275,51.5359,3.25936,0.203975,0.130515,0.0764884,0.296627
10.6614,0.610009,0.665,0.0425,2.125,0.401715,600.9,49.8301,3.17029,0.147043,0.120723,0.0942957,0.250196
9.64262,0.671058,0.698875,0.0294849,2.315,0.561939,492.425,43.1056,3.08181,0.193899,0.148549,0.104214,0.245325
11.7836,0.860037,0.74975,0.0244681,2.305,0.529127,404.875,29.4993,3.07271,0.195058,0.149573,0.0848669,0.205375
8.83662,0.631576,0.667625,0.0423377,2.21,0.409756,520.325,33.6321,3.10511,0.152928,0.144739,0.112344,0.247595
11.71,0.822348,0.704625,0.0343945,2.135,0.512616,675.775,46.9151,3.21011,0.208797,0.132546,0.0843674,0.284336
8.65587,0.523382,0.62725,0.0435452,2.15,0.565243,496.975,36.5339,3.11008,0.168028,0.126851,0.113902,0.223225
8.46663,0.607147,0.616375,0.0340034,1.98,0.54,528.45,35.2512,3.10478,0.138278,0.124097,0.116412,0.228962
12.2806,0.897364,0.727125,0.0355121,2.255,0.545871,480.375,33.6026,3.10557,0.169645,0.138426,0.0816333,0.226187
9.78237,0.593579,0.639,0.0416713,1.965,0.501772,407.35,29.762,3.01548,0.165751,0.11465,0.101309,0.178583
8.52637,0.640415,0.685,0.0457165,2.67,0.686367,536.625,40.6575,3.16332,0.187533,0.167933,0.119191,0.277671
6.93288,0.439327,0.597625,0.0399998,2.24,0.51614,465.675,34.9817,3.09252,0.162427,0.141526,0.142572,0.22972
8.91412,0.605027,0.672125,0.0369778,2.49,0.567362,582.0,38.4779,3.18534,0.143125,0.15782,0.112096,0.287896
9.64188,0.631953,0.6485,0.0390544,1.94,0.454313,454.15,39.621,3.0795,0.173898,0.117814,0.102255,0.192189
10.1137,0.765531,0.696875,0.0376113,2.455,0.599979,610.525,42.7183,3.16544,0.15145,0.158506,0.0987175,0.294468
6.98688,0.441289,0.607875,0.0503846,2.335,0.452521,457.35,38.3905,3.05103,0.159149,0.145935,0.143643,0.228164
9.91988,0.602661,0.6325,0.0438463,2.19,0.553082,457.55,40.6884,3.08763,0.157148,0.115227,0.100744,0.18953
9.04763,0.650773,0.629875,0.0396151,2.035,0.414457,508.3,36.3306,3.12062,0.177156,0.120111,0.10753,0.219198
9.5105,0.669236,0.676375,0.0368441,2.155,0.496966,624.325,42.5267,3.18201,0.132491,0.146362,0.10607,0.286984
9.73613,0.719697,0.645125,0.0436103,2.105,0.489872,687.8,42.043,3.24885,0.158469,0.12508,0.101834,0.279306
13.2417,1.11069,0.73225,0.0238995,2.21,0.354824,508.8,38.8157,3.18047,0.179523,0.127103,0.0758487,0.225118
7.79762,0.435244,0.68075,0.0426255,2.58,0.56,456.225,31.1949,3.06516,0.141832,0.178154,0.126792,0.259063
