Summary statistic,Component 1,Component 2,Component 3,Component 4,Component 5
mean:auc_infected_fraction,-0.1637,0.0729,0.5383,-0.011,-0.1984
sd:auc_infected_fraction,0.0212,0.0271,0.614,-0.1382,0.3045
mean:peak_infected_fraction,-0.2787,0.1595,0.314,-0.0012,-0.1062
sd:peak_infected_fraction,0.1543,-0.0602,-0.158,0.5056,0.2158
mean:time_to_peak_infected_fraction,0.1186,-0.1303,0.1959,0.3804,-0.114
sd:time_to_peak_infected_fraction,0.2902,-0.127,0.0723,-0.0071,0.0687
mean:initial_growth_ratio,-0.23,0.4051,-0.0588,0.2043,0.5077
sd:initial_growth_ratio,-0.2007,0.3515,-0.1087,0.2337,0.2085
mean:peak_rewire_count,0.1024,0.4202,0.0511,0.0681,-0.309
sd:peak_rewire_count,0.2158,0.3533,0.0395,0.0398,0.0126
mean:time_to_peak_rewire_count,0.1025,-0.0791,0.1118,0.4576,-0.2771
sd:time_to_peak_rewire_count,0.1898,-0.1298,0.0685,0.3318,0.0705
mean:total_rewire_count,0.1849,0.2745,0.0709,0.207,-0.2644
sd:total_rewire_count,0.2848,0.1679,0.0708,0.0198,0.0585
mean:mean_degree,-0.001,-0.0008,0.0127,-0.0138,-0.031
sd:mean_degree,0.0028,-0.0057,0.002,0.0,-0.0106
mean:sd_degree,0.2945,0.222,0.0797,-0.1351,0.0955
sd:sd_degree,0.2692,0.1488,0.0678,-0.1243,0.3005
mean:rewire_to_infection_ratio,0.3376,0.1359,-0.0386,-0.1636,-0.0903
sd:rewire_to_infection_ratio,0.3404,0.0762,-0.0683,-0.188,-0.112
mean:lag_peak,0.0869,-0.2584,0.3194,0.1262,0.224
sd:lag_peak,0.2537,-0.2317,0.0112,-0.056,0.2628
